                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.0608,                 1.6415,                 3.1146,                0.46449,                    0.4,                0.40672,                0.14933,                 5.1813,                 5.1432,                 4.7025,              0.0019327,              0.0019327,              0.0019327
                     36,                 2.9547,                 1.5427,                 3.0973,                0.66392,                0.32727,                0.36688,                0.12544,                 5.6016,                  5.951,                  4.796,              0.0019307,              0.0019307,              0.0019307
                     37,                 2.8977,                 1.4808,                 2.9946,                0.87778,                0.70909,                0.79169,                0.37541,                 3.6908,                 2.6501,                 3.9461,              0.0019287,              0.0019287,              0.0019287
                     38,                 2.8188,                 1.3529,                 2.9386,                 0.9254,                0.67673,                0.81472,                0.40241,                 3.6698,                 2.8548,                 3.9775,              0.0019267,              0.0019267,              0.0019267
                     39,                 2.7788,                 1.4519,                 3.0072,                0.86912,                0.60377,                0.76667,                0.31799,                 4.3266,                  3.902,                 4.3092,              0.0019248,              0.0019248,              0.0019248
                     40,                 2.8239,                 1.3695,                 2.9388,                0.86098,                0.85455,                 0.9221,                 0.4778,                 3.5963,                 1.6236,                 4.1197,              0.0019228,              0.0019228,              0.0019228
                     41,                 2.8181,                 1.3345,                 2.9678,                0.70443,                0.78182,                 0.7974,                0.40536,                 3.4435,                 2.2019,                 4.1509,              0.0019208,              0.0019208,              0.0019208
                     42,                 3.0518,                 1.4296,                 3.0928,                0.88204,                 0.8158,                0.89596,                0.50069,                 3.5043,                 1.8244,                 4.2637,              0.0019188,              0.0019188,              0.0019188
                     43,                 3.0165,                 1.4996,                 3.1309,                0.93001,                0.81818,                0.88782,                0.46065,                 3.3823,                 1.6669,                 4.0099,              0.0019168,              0.0019168,              0.0019168
                     44,                 2.9646,                 1.4522,                 3.0101,                0.90356,                0.85177,                0.86449,                0.45365,                 3.4733,                 1.5908,                 4.0412,              0.0019149,              0.0019149,              0.0019149
                     45,                 2.8906,                 1.3992,                 2.9044,                0.90568,                0.90909,                 0.9467,                0.43667,                 3.5942,                 1.3916,                 4.0914,              0.0019129,              0.0019129,              0.0019129
                     46,                 2.9196,                 1.4302,                 3.0002,                0.81724,                0.58182,                0.66533,                0.29249,                 4.2749,                 3.6204,                 4.6917,              0.0019109,              0.0019109,              0.0019109
                     47,                 3.0374,                 1.3904,                  3.081,                0.86631,                0.82482,                0.84393,                0.44403,                 3.4863,                 1.6632,                 4.1464,              0.0019089,              0.0019089,              0.0019089
                     48,                 3.1071,                 1.3639,                  3.069,                0.87562,                0.87273,                0.88588,                0.46533,                 3.6505,                 1.5354,                  4.178,              0.0019069,              0.0019069,              0.0019069
                     49,                 2.7509,                 1.4465,                 2.9662,                0.80506,                0.96364,                0.90379,                0.43723,                 3.4024,                 1.4524,                 3.9821,               0.001905,               0.001905,               0.001905
                     50,                 2.8556,                 1.3582,                 2.9444,                0.74598,                0.78182,                0.81504,                0.32453,                 4.2801,                 2.0178,                 4.5167,               0.001903,               0.001903,               0.001903
                     51,                 2.6909,                 1.2937,                  2.892,                0.81422,                0.81818,                0.82316,                0.43797,                  3.541,                 1.5848,                 4.2536,               0.001901,               0.001901,               0.001901
                     52,                 2.7033,                 1.3511,                 2.9209,                0.87114,                0.86051,                0.88588,                0.40578,                  3.872,                 1.6153,                 4.3311,               0.001899,               0.001899,               0.001899
                     53,                 2.7497,                  1.399,                 3.0071,                 0.9209,                0.84675,                0.95083,                0.53093,                   3.23,                 1.4065,                 4.1178,               0.001897,               0.001897,               0.001897
                     54,                 2.7899,                 1.2079,                 2.9145,                0.87522,                0.89275,                 0.9008,                0.43611,                  3.793,                 1.6496,                 4.4218,              0.0018951,              0.0018951,              0.0018951
                     55,                 2.7422,                  1.313,                 2.8646,                0.92479,                0.94545,                 0.9598,                0.47273,                 3.4842,                 1.2759,                 4.0927,              0.0018931,              0.0018931,              0.0018931
                     56,                 2.8104,                 1.3283,                 2.9287,                0.96211,                0.92336,                0.96776,                0.53255,                 3.4952,                 1.2723,                 4.0526,              0.0018911,              0.0018911,              0.0018911
                     57,                  2.714,                 1.2347,                 2.9948,                0.85977,                0.76364,                0.82282,                0.39468,                 3.7505,                 2.2025,                 4.2122,              0.0018891,              0.0018891,              0.0018891
                     58,                 2.8437,                 1.3279,                 3.0424,                0.90699,                 0.8866,                0.95483,                0.48491,                 3.5175,                 1.4375,                 4.1215,              0.0018871,              0.0018871,              0.0018871
                     59,                 2.7837,                 1.3132,                 2.9513,                0.97986,                0.88464,                0.98188,                0.54768,                 3.5388,                  1.157,                 4.2169,              0.0018852,              0.0018852,              0.0018852
                     60,                 2.8706,                 1.2975,                 2.9202,                 0.9015,                0.87273,                0.91019,                0.40228,                 3.8903,                 1.4079,                 4.1268,              0.0018832,              0.0018832,              0.0018832
                     61,                 2.8425,                 1.3078,                 2.9042,                0.88466,                0.87273,                0.91758,                0.38119,                 3.7089,                 1.3684,                 4.1246,              0.0018812,              0.0018812,              0.0018812
                     62,                 2.7765,                 1.2761,                 2.9632,                0.84539,                0.72727,                0.80509,                0.36307,                 3.9705,                 1.4345,                 4.2225,              0.0018792,              0.0018792,              0.0018792
                     63,                 2.8225,                 1.3116,                 2.8832,                0.90355,                0.85164,                0.92896,                0.51002,                 3.3269,                  1.187,                 3.8103,              0.0018772,              0.0018772,              0.0018772
                     64,                 2.6102,                 1.3647,                 2.8708,                0.90736,                0.89091,                0.91881,                0.48417,                 3.6195,                 1.2729,                  4.229,              0.0018753,              0.0018753,              0.0018753
                     65,                 2.6869,                 1.2794,                 2.8691,                0.97287,                0.90909,                0.95698,                0.50637,                 3.4122,                 1.1609,                 4.1141,              0.0018733,              0.0018733,              0.0018733
                     66,                  2.738,                 1.2616,                 2.8673,                0.96736,                0.74545,                0.89915,                0.47683,                 3.5551,                 1.3499,                 4.1857,              0.0018713,              0.0018713,              0.0018713
                     67,                 2.6443,                 1.2862,                 2.8829,                0.75231,                0.52727,                0.62256,                0.26363,                 3.8547,                 2.9823,                 4.2741,              0.0018693,              0.0018693,              0.0018693
